"filename", "language", "Properties", "JSON", "Markdown", "JSON with Comments", "TypeScript", "HTML", "SCSS", "TypeScript JSX", "CSS", "JavaScript", "XML", "comment", "blank", "total"
"c:\Users\vtewe\VisualStudioCodeProjects\my-portfolio.react\src\core\services\date\Duration.ts", "TypeScript", 0, 0, 0, 0, 82, 0, 0, 0, 0, 0, 0, 7, 14, 103
"c:\Users\vtewe\VisualStudioCodeProjects\my-portfolio.react\src\core\services\date\IDateTimeSpan.ts", "TypeScript", 0, 0, 0, 0, 4, 0, 0, 0, 0, 0, 0, 0, 1, 5
"c:\Users\vtewe\VisualStudioCodeProjects\my-portfolio.react\src\core\services\date\isDateTimeSpan.ts", "TypeScript", 0, 0, 0, 0, 16, 0, 0, 0, 0, 0, 0, 3, 6, 25
"c:\Users\vtewe\VisualStudioCodeProjects\my-portfolio.react\src\core\types\ISignal.ts", "TypeScript", 0, 0, 0, 0, 3, 0, 0, 0, 0, 0, 0, 0, 1, 4
"c:\Users\vtewe\VisualStudioCodeProjects\my-portfolio.react\src\core\types\Month.ts", "TypeScript", 0, 0, 0, 0, 14, 0, 0, 0, 0, 0, 0, 0, 1, 15
"c:\Users\vtewe\VisualStudioCodeProjects\my-portfolio.react\src\core\types\Value.ts", "TypeScript", 0, 0, 0, 0, 4, 0, 0, 0, 0, 0, 0, 3, 1, 8
"c:\Users\vtewe\VisualStudioCodeProjects\my-portfolio.react\src\core\utils\error.ts", "TypeScript", 0, 0, 0, 0, 3, 0, 0, 0, 0, 0, 0, 0, 1, 4
"c:\Users\vtewe\VisualStudioCodeProjects\my-portfolio.react\src\core\utils\request.ts", "TypeScript", 0, 0, 0, 0, 3, 0, 0, 0, 0, 0, 0, 0, 1, 4
"c:\Users\vtewe\VisualStudioCodeProjects\my-portfolio.react\src\core\utils\style.ts", "TypeScript", 0, 0, 0, 0, 3, 0, 0, 0, 0, 0, 0, 3, 1, 7
"c:\Users\vtewe\VisualStudioCodeProjects\my-portfolio.react\src\features\aboutMe\AboutMe.module.scss", "SCSS", 0, 0, 0, 0, 0, 0, 14, 0, 0, 0, 0, 0, 2, 16
"c:\Users\vtewe\VisualStudioCodeProjects\my-portfolio.react\src\features\aboutMe\AboutMe.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 0, 0, 16, 0, 0, 0, 0, 2, 18
"c:\Users\vtewe\VisualStudioCodeProjects\my-portfolio.react\src\features\aboutMe\IAboutMeProps.ts", "TypeScript", 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 1
"c:\Users\vtewe\VisualStudioCodeProjects\my-portfolio.react\src\features\aboutMe\aboutMeItem\AboutMeItem.module.scss", "SCSS", 0, 0, 0, 0, 0, 0, 25, 0, 0, 0, 0, 0, 4, 29
"c:\Users\vtewe\VisualStudioCodeProjects\my-portfolio.react\src\features\aboutMe\aboutMeItem\AboutMeItem.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 0, 0, 13, 0, 0, 0, 0, 2, 15
